Category,t_statistic,p_value,statistically significant,count,delta_ratio
Culture/Tradition,-1.9017084374852744,0.07960115496184925,False,14,137.91634441222175
Ethnic/Racial Prejudice,-1.6780803306826984,0.11916203752303763,False,13,128.22345829363982
Ideology/Politics,-0.21370396912139586,0.8317651190311622,False,45,45.28865287307142
Other,-2.6461689571103455,0.04563619301681786,True,6,109.02225398126453
Personality/Behavior,-2.2930131263122098,0.023633385299421588,True,118,104.41908065925634
Residential area,-0.007608911149551545,0.9939894193740566,False,26,29.4524417630167
Values,-0.0403106800985841,0.968131503264498,False,29,11.162773040555178
