Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Culture/Tradition,-1,-2.542526437258693,0.02453700829239382,True,14,102.79733159136883
Ideology/Politics,-1,0.9142038434501779,0.37725438356589147,False,14,48.81557685168142
Personality/Behavior,-1,0.9720253578057164,0.33438486093618325,False,71,67.88964826450592
Personality/Behavior,0,-0.8811207343198377,0.37976264920503855,False,141,239.0551099129084
Personality/Behavior,1,-2.213136947796202,0.028915744099028615,True,113,56.57432598217939
Values,-1,-2.975899772012912,0.0043936883148096365,True,54,93.11803080789399
Values,0,-1.0421077529022231,0.4868749188984729,False,2,138.76593057095556
