Category,t_statistic,p_value,statistically significant,count,delta_ratio
Appearance/Impression,-1.1457149320054285,0.2627623946807332,False,26,110.29844221775562
Athletic Ability,-2.4636226259361598,0.04323514733374762,True,8,99.36527954891542
Culture/Tradition,-3.9140833390863876,0.00017496287467708678,True,92,136.44287959661
Drinking,-1.9143697781685378,0.06208992248111651,False,45,139.84255956761695
Ideology/Politics,-3.091864296905553,0.004703577012014399,True,27,214.98715144265552
Institutions,-2.921910112685349,0.00439808324000557,True,91,169.65016452670775
Personality/Behavior,-2.695794384299939,0.01040436276237568,True,39,286.08233883435497
Residential area,-2.4288353954914434,0.033478714814023466,True,12,173.46150125935137
