Category,t_statistic,p_value,statistically significant,count,delta_ratio
Appearance/Impression,1.5471657006142574,0.13490952646389828,False,25,-2.1086064976666687
Athletic Ability,1.6967920529233467,0.1335501566214208,False,8,-12.717572037504793
Culture/Tradition,2.4571709735522544,0.015920853510191707,True,91,-10.11167714522214
Drinking,2.786592695650149,0.007714098149004989,True,47,-31.818760445654647
Ideology/Politics,2.7111392534361336,0.011721466948137324,True,27,-51.42817515972262
Institutions,2.8517531184904272,0.005356800308814905,True,94,-32.95586701930907
Personality/Behavior,1.3485828241639224,0.18613316420622367,False,36,-39.31226211292911
Residential area,1.9051537195642487,0.08322112616392799,False,12,-16.425520209248234
