Category,t_statistic,p_value,statistically significant,count,delta_ratio
Culture/Tradition,-1.8986742682707802,0.08002824507565498,False,14,258.91734277627745
Ethnic/Racial Prejudice,-2.051264443509093,0.06273151149417487,False,13,129.54979712255542
Ideology/Politics,-1.9637251347588498,0.05590012272876623,False,45,68.93550503802736
Other,-1.4888755268394054,0.19669325914262328,False,6,92.00364542045033
Personality/Behavior,-4.204572948587572,5.143715557608101e-05,True,118,185.71410923561683
Residential area,-1.572316487465284,0.128968826729453,False,25,46.45241503677595
Values,0.7788627495220456,0.44259366816227974,False,29,14.960780394725507
