Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Culture/Tradition,-1,-2.5410380531379735,0.02460616153639588,True,14,114.61791181223313
Ideology/Politics,-1,-1.008532858098912,0.3316026735748544,False,14,123.10825200754255
Personality/Behavior,-1,-1.8785101255431709,0.06459891114154366,False,69,134.73150802686607
Personality/Behavior,0,-3.5081577726224715,0.0006070571649259164,True,141,421.8500996186557
Personality/Behavior,1,-2.409222009642606,0.017602244966441853,True,114,138.05217856712895
Values,-1,-3.7622376078102433,0.00042253630571930983,True,54,107.08184707574526
Values,0,-0.9904037212381767,0.5030692936317933,False,2,357.8203873760462
