Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Culture/Tradition,-1,-3.1194698957330007,0.008136050272819155,True,14,124.61232722030036
Ideology/Politics,-1,-1.4567773994899282,0.1689047160381693,False,14,105.45855377807634
Personality/Behavior,-1,-0.0021006631221066442,0.9983299761513661,False,70,96.34806624352122
Personality/Behavior,0,-3.18788262223997,0.0017681367113437192,True,141,350.3828647997678
Personality/Behavior,1,-2.246564779334808,0.026628589087931066,True,113,96.84954571057355
Values,-1,-2.8851382972159523,0.0056461004204682265,True,54,105.32706051520091
Values,0,-0.9915529435121264,0.5027001697088709,False,2,286.94333067227444
